994	3573.07	7640.18	3891.52	4837.53	4798.63	4016.36	4209.45	4402.35	4829.02	5355.02	2911.74	4548.45	Wilmington	DE	75526	113-7834 Nam Av.
554	3110.20	4942.96	5380.14	5833.74	6036.64	6240.84	3292.74	4873.10	6931.07	4652.61	6435.76	4591.21	Newport	VA	43052	Ap #142-9347 Urna Av.
683	5454.64	3804.06	3990.72	5398.07	5265.51	6074.91	6056.05	5559.85	4949.76	5243.07	4931.54	4136.76	Nampa	ID	94910	P.O. Box 564, 631 A Avenue
792	4218.31	3136.89	6538.37	4401.89	4893.04	6062.43	3871.36	5964.09	5260.57	5181.49	5305.36	5361.68	Chattanooga	TN	46033	3614 Aliquet Ave
213	5126.11	4915.52	4778.62	5307.07	5601.37	6843.35	6264.13	4308.09	4882.68	5551.37	6676.72	4710.21	Grand	NE	91570	P.O. Box 244, 9563 Semper Rd.
151	3854.38	5244.50	4163.23	4483.04	6347.26	4907.48	3520.47	4181.49	4532.64	5686.51	4656.45	4155.27	Pike	DE	66198	5323 Nec Av.
584	6012.12	3385.26	5267.46	2571.69	3497.88	5402.04	6647.10	5151.12	6225.06	5824.04	6470.85	3612.60	Wyoming	WY	73603	Ap #183-6537 Commodo St.
580	4105.07	6476.23	3992.35	4956.02	3402.88	5451.37	4039.98	3497.98	3836.18	6070.96	5231.36	5026.94	Allentown	PA	21012	Ap #986-128 Sociis Av.
809	6034.33	3761.79	4586.46	5254.36	5065.31	4391.33	5339.39	4428.01	4174.42	5458.72	6534.91	4835.92	Carson	NV	46921	677-6505 Suspendisse St.
658	4397.49	5801.37	4995.59	5993.52	5335.15	5714.74	4383.11	4727.69	5880.46	4911.42	6009.35	5392.61	Olympia	WA	19467	P.O. Box 153, 8192 Risus, Street
